servo,servo2,servo3,servo4,servo5,servo6,time
2046.0,1299.0,2305.0,995.0,1100.0,501.0,1.0
2047.0,1852.0,3238.0,2516.0,1100.0,502.0,1.0
2047.0,1865.0,3249.0,2506.0,1098.0,-1,1.0
2047.0,1865.0,3249.0,2506.0,1098.0,-1,1.0
2047.0,1421.0,3216.0,2236.0,1101.0,-1,2.0
3219.0,1421.0,3216.0,2236.0,1101.0,-1,2.0
3219.0,1421.0,3216.0,2236.0,2118.0,-1,1.0
3219.0,1421.0,3216.0,2236.0,2118.0,-1,1.0
3219.0,1421.0,3216.0,2236.0,1042.0,-1,1.0
1952.0,1421.0,3216.0,2236.0,1042.0,-1,2.0
1952.0,1660.0,3216.0,2234.0,1042.0,-1,2.0
1952.0,1648.0,3196.0,2244.0,1041.0,503.0,1.0
1952.0,1648.0,3196.0,2244.0,1041.0,503.0,1.0
1952.0,1207.0,3196.0,2244.0,1041.0,503.0,1.0
2044.0,1298.0,2311.0,996.0,1099.0,503.0,1.0
